ID	exact.mass	resolve_note	n_merged	source_ids	mass_min	mass_max	ppm_span
3,4-dimethoxycinnamic acid	207.0663		1	3,4-dimethoxycinnamic acid	207.0663	207.0663	0
1,3,7-trimethyluric acid	209.068		1	1,3,7-trimethyluric acid	209.068	209.068	0
Ketoprofen	209.0972		1	Ketoprofen	209.0972	209.0972	0
DL-C12:1-oxo-FA/DL-C12:2-OH-FA	211.1334		1	DL-C12:1-oxo-FA/DL-C12:2-OH-FA	211.1334	211.1334	0
DL-C12-oxo-FA	213.1491		1	DL-C12-oxo-FA	213.1491	213.1491	0
C13:0	213.1854		1	C13:0	213.1854	213.1854	0
Glycerophosphoethanolamine	214.048		1	Glycerophosphoethanolamine	214.048	214.048	0
Hexose	215.033		1	Hexose	215.033	215.033	0
N-Acetylarginine	215.115		1	N-Acetylarginine	215.115	215.115	0
Methyltryptophan	217.0983		1	Methyltryptophan	217.0983	217.0983	0
3-HPMA	220.0644		1	3-HPMA	220.0644	220.0644	0
N-Acetyl-tyrosine	222.0772		1	N-Acetyl-tyrosine	222.0772	222.0772	0
D-Glucose [M+FA-H]	225.0605		1	D-Glucose [M+FA-H]	225.0605	225.0605	0
C14:1	225.1855		2	C14:1 | FA 14:1 (putative)	225.1854	225.1855	0.4441
Phosphatidic acid	226.996		1	Phosphatidic acid	226.996	226.996	0
2-Deoxyuridine	227.0673		1	2-Deoxyuridine	227.0673	227.0673	0
cis-resveratrol / trans-resveratrol	227.0714		1	cis-resveratrol / trans-resveratrol	227.0714	227.0714	0
DL-C12:1-diC-FA	227.1284		1	DL-C12:1-diC-FA	227.1284	227.1284	0
FA 14:0 (putative)	227.2018		1	FA 14:0 (putative)	227.20175	227.20175	0
Xylulose-5-phosphate	229.009		1	Xylulose-5-phosphate	229.009	229.009	0
Ribulose-5-phosphate	229.0117		2	Ribulose-5-phosphate | ribose-5-phosphate / pentose-5-phosphate	229.0114	229.0119	2.1833
Dodecanedioic acid	229.1445		1	Dodecanedioic acid	229.1445	229.1445	0
Methoxytryptophan	233.0932		1	Methoxytryptophan	233.0932	233.0932	0
N-Acetyl-S-(4-hydroxybutan-2-yl)-L-cysteine (HMPMA)	234.08		1	N-Acetyl-S-(4-hydroxybutan-2-yl)-L-cysteine (HMPMA)	234.08	234.08	0
DL-C14:3-OH-FA	237.1491		1	DL-C14:3-OH-FA	237.1491	237.1491	0
Dihydrobiopterin	238.0946		1	Dihydrobiopterin	238.0946	238.0946	0
DL-HydroxytetradecadienFA	239.1647		1	DL-HydroxytetradecadienFA	239.1647	239.1647	0
FA 15:0 (putative)	241.2173		1	FA 15:0 (putative)	241.2173	241.2173	0
Cytidine	242.0782		1	Cytidine	242.0782	242.0782	0
Uridine	243.0623		1	Uridine	243.0623	243.0623	0
Biotin	243.0809		1	Biotin	243.0809	243.0809	0
DL-C12-diC-oxo-FA	243.1233		1	DL-C12-diC-oxo-FA	243.1233	243.1233	0
Leucyl-leucine	243.1714		1	Leucyl-leucine	243.1714	243.1714	0
Glycerophosphoglycerol	245.043		1	Glycerophosphoglycerol	245.043	245.043	0
3,4-dehydroinosine	247.0473		1	3,4-dehydroinosine	247.0473	247.0473	0
2-deoxyinosine	251.0786		1	2-deoxyinosine	251.0786	251.0786	0
C16:2	251.2011		1	C16:2	251.2011	251.2011	0
DL-(iso-)C14:2-diC-	253.144		1	DL-(iso-)C14:2-diC-	253.144	253.144	0
FA 16:1 (putative)	253.2173		1	FA 16:1 (putative)	253.2173	253.2173	0
