ID	exact.mass
1-hexadecyl lysophosphatidic acid	395.2568
C26:0	395.3884
S-adenosylhomocysteine	397.13
Palmitoylcarnitine	398.3276
Roflumilast	401.0277
Ketocholanic acid	401.2333
Cholic acid (CA) / _MCA / _MCA / _MCA	407.2803
Ezetimibe	408.1417
Inosine 5_-diphosphate (IDP) M-H20-H	409.0069
Xanthurenic acid 2M-H	409.064
FA 16:0 (putative)	409.2356
C27:0	409.4045
PE 12:0 (putative)	410.1773
N-arachidonoyl taurine	410.2371
Palmitoylserotonin	413.3174
Docosahexaenoyl ethanolamide	416.2806
Glycocholanic Acid	416.317
Finasteride	417.2759
C28:2	419.3889
2beta,7alpha,12alpha-Trihydroxy-3-oxo-5beta-cholan-24-oic Acid (etc) / Lovastatin hydroxyacid	421.2596
C28:1	421.4045
S-(1,2-dicarboxyethyl)glutathione	422.0875
Thiamin diphosphate M-H	423.0217
MG(0:0/20:5(7Z,9Z,11E,13E,17Z)-3OH(5,6,15)/0:0) / Pravastatin	423.2388
FA 18:0 (putative)	423.2881
C28:0	423.4202
Cysteine-glutathione disulfide (CySSG)	425.0806
ADP	426.0222
2-Oxo-3-hydroxy-4-phosphobutanoic acid 2M-H	426.9508
GLCA	432.3119
FA 18:2 (putative)	433.2363
FA 18:1 (putative)	435.2518
FA 16:0 (putative)	436.2828
Dexamethasone	437.1981
FA 22:6 (putative)	437.246
FA 18:0 (putative)	437.2681
C29:0	437.4358
LTE4	438.232
LPE 16:0 (putative)	438.2985
Folate	440.1324
Arachidonoylcarnitine	446.3276
17-beta-estradiol-3-glucuronide	447.2024
C30:2	447.4202
GUDCA / GCDCA / GDCA	448.3068
tripeptide family (e.g. Arg-Ile-Tyr) / Lovastatin	449.2545
Norselic acid A	451.286
C30:0	451.4515
LPE 16:0 (putative)	452.2779
Phe-Ala-Phe-Ala	453.2143
DG 24:0 (putative)	455.376
FA 20:4 (putative)	457.2363
FA 20:3 (putative)	459.2506
4-hydroxy Nonenal Glutathione (HNE-GSH)	462.191
LPE O-18:2 (putative)	462.2985
Simvastatin	463.2701
DHN-GSH	464.2067
LPE 18:1 (putative)	464.2777
GCA	464.3018
FA 18:1 (putative)	464.3153
Cholesterol sulfate	465.3044
Taurocholanic acid	466.2997
LPE 18:0 (putative)	466.3298
Cromolyn	467.062
N-nervonoyl taurine	472.3466
Retinoyl b-glucuronide / Budesonide	475.2337
C32:2	475.4515
LPE 18:2 (putative)	476.2788
HNA-GSH	478.1859
FA 18:1 (putative)	478.2944
C32:0	479.4828
FA 18:0 (putative)	480.3085
FA 22:6 (putative)	481.2359
TLCA	482.2946
FA 16:0 (putative)	483.273
Inosine triphosphate (ITP) M-H20-H	488.9788
LPE O-20:1 (putative)	492.3449
LTD4	495.2534
taurochenodeoxycholic acid (TCDCA) / TUDCA / TDCA	498.2895
FA 20:4 (putative)	500.2793
LPE 20:3 (putative)	502.2933
Methymycin	504.272
ATP	505.988
Cardiolipin (putative)	506.1184
PE 18:1 (putative)	506.288
ITP M-H	506.9934
FA 18:2 (putative)	507.272
FA 18:1 (putative)	509.2884
LPC 14:0 (putative)	512.2994
taurocholic acid (TCA) / epimers of tauromuricholic acid (_-, _-, _-, or _-TMCA)	514.2844
FA 18:1 (putative)	522.2827
FA 18:0 (putative)	524.2999
LPE 22:5 (putative)	526.2947
LPC 15:0 (putative)	526.3149
LPC O-16:1 (putative)	526.3521
FA 12:0 (putative)	526.4477
PE 21:4 (putative)	528.273
LPE 22:4 (putative)	528.3096
taurotetrahydroxycholic acid (TTHBA)	530.2788
PE 21:3 (putative)	530.291
PA 24:0 (putative)	535.3405
LPC 16:1 (putative)	538.3154
NAD+ [M-nicotinamide-2H]	540.0509
FA 16:0 (putative)	540.3307
2-O-methyl PAF C-16	540.3671
Cer 18:1 (putative)	544.4496
Cer 18:0 (putative)	546.4653
LPC 17:1 (putative)	552.3314
LPC O-18:1 (putative)	552.3669
LPC 17:0 (putative)	554.3463
2-O-ethyl PAF C-16	554.383
FA 14:0 (putative)	554.479
FA 22:6 (putative)	555.274
PI 14:0 (putative)	557.2457
FA 15:0 (putative)	557.273
FA 16:0 (putative)	557.309
Cer 33:1 (putative)	558.466
LPC 18:2 (putative)	564.3304
UDP-Glucose	565.0478
LPC 18:1 (putative)	566.3463
FA 18:0 (putative)	568.362
Cer 34:2 (putative)	570.466
FA 16:0 (putative)	571.29
Cer 18:1 (putative)	572.4809
Zafirlukast	574.2017
Cer 18:0 (putative)	574.4966
PE 24:0 (putative)	578.3827
LPC 19:0 (putative)	582.376
Cardiolipin CL(52:2) (putative)	582.3797
LPC O-20:0 (putative)	582.4139
FA 16:0 (putative)	582.5103
FA 16:0 (putative)	584.5259
LPC 20:4 (putative)	588.33
LPC 20:3 (putative)	590.3467
PA 28:0 (putative)	591.4031
LPC 20:2 (putative)	592.3622
Cardiolipin CL(54:5) (putative)	593.3715
LPC 20:1 (putative)	594.3771
Cardiolipin CL(54:3) (putative)	595.3872
PAF C-18 / Butanoyl-PAF	596.3932
FA 18:1 (putative)	597.304
Cer 36:2 (putative)	598.496
FA 18:0 (putative)	599.3202
Cer 36:1 (putative)	600.512
DG 32:1 (putative)	601.459
Sphinganine 2M-H	601.603
DG 32:0 (putative)	603.476
N-Acetylaspartylglutamic acid 2M-H	607.1778
PC (putative)	608.3569
FA 18:1 (putative)	608.5259
PG 24:0 (putative)	609.3773
PC 20:0 (putative)	610.3726
FA 18:0 (putative)	610.5416
oxidized glutathione / glutathione disufide (GSSG)	611.1447
LPC 22:6 (putative)	612.331
LPC 22:5 (putative)	614.3459
heme B	615.1695
LPC 22:4 (putative)	616.3627
FA 16:0 (putative)	616.471
FA 16:0 (putative)	618.4863
PI 20:4 (putative)	619.29
NADP+ [M-nicotinamide-2H]	620.0176
PS 24:0 (putative)	622.3726
LTC4	624.296
DG 34:3 (putative)	625.459
DG 34:2 (putative)	627.475
DG 34:1 (putative)	629.491
PE 28:0 (putative)	634.4455
LPC O-24:1 (putative)	636.4618
PC (putative)	638.3675
FA 20:0 (putative)	638.5729
Cer 40:1 (putative)	640.58
PA 32:0 (putative)	647.464
DG 36:4 (putative)	651.475
LPC 24:0 (putative)	652.4555
DG 36:3 (putative)	653.492
Heptanoyl thio-phosphatidylcholine	654.4174
Cer 18:1 (putative)	654.5592
DG 36:2 (putative)	655.508
Cer 18:0 (putative)	656.5748
DG 36:1 (putative)	657.523
Cer 18:0 (putative)	658.5905
PA O-34:1 (putative)	659.5016
NAD+ [M-2H]	662.0986
NADH [M-H]	664.1147
PG 28:0 (putative)	665.4399
PC 24:0 (putative)	666.4352
Cer 42:2 (putative)	666.597
FA 22:0 (putative)	666.6042
Cer 41:2 (putative)	668.577
Cer 42:1 (putative)	668.611
Cer 41:1 (putative)	670.59
PA 34:2 (putative)	671.4467
PA 24:2 (putative)	671.464
PA 34:1 (putative)	673.5079
trihydroxycholanoyltaurine	674.198
mono-glucuronides of dihydroxycholanoyltaurine	674.3216
Cer 40:0 (putative)	674.587
DG 38:6 (putative)	675.475
DG 38:5 (putative)	677.49
DG 38:4 (putative)	679.509
Cer 42:3 (putative)	680.575
Cer 18:1 (putative)	682.5905
NAD+ [M+Na-3H]	684.0809
Cer 18:0 (putative)	684.6061
NADH [M+Na-2H]	686.0961
