ID	exact.mass	resolve_note	n_merged	source_ids	mass_min	mass_max	ppm_span
Acylcarnitine C14:2-2OH	400.2694		1	Acylcarnitine C14:2-2OH	400.2694	400.2694	0
Acylcarnitine 16:0	400.3421		1	Acylcarnitine 16:0	400.3421	400.3421	0
Acylcarnitine C14:1-2OH	402.285		1	Acylcarnitine C14:1-2OH	402.285	402.285	0
Acylcarnitine C14:0-2OH	404.3007		1	Acylcarnitine C14:0-2OH	404.3007	404.3007	0
Acylcarnitine C16:3-OH	410.2901		1	Acylcarnitine C16:3-OH	410.2901	410.2901	0
Acylcarnitine C14:3-3OH	414.2486		1	Acylcarnitine C14:3-3OH	414.2486	414.2486	0
Acylcarnitine C14:2-3OH	416.2643		1	Acylcarnitine C14:2-3OH	416.2643	416.2643	0
Acylcarnitine C14:1-3OH	418.2799		1	Acylcarnitine C14:1-3OH	418.2799	418.2799	0
Acylcarnitine C16:1-2OH	430.3163		1	Acylcarnitine C16:1-2OH	430.3163	430.3163	0
Acylcarnitine C10:3-Cysteine	431.221		1	Acylcarnitine C10:3-Cysteine	431.221	431.221	0
Acylcarnitine C16:2-3OH	444.2956		1	Acylcarnitine C16:2-3OH	444.2956	444.2956	0
Acylcarnitine C12:6-Cysteine	457.2367		1	Acylcarnitine C12:6-Cysteine	457.2367	457.2367	0
Acylcarnitine C8:1-HexA	462.2334		1	Acylcarnitine C8:1-HexA	462.2334	462.2334	0
4-hydroxy Nonenal Glutathione (HNE-GSH)	464.2061		1	4-hydroxy Nonenal Glutathione (HNE-GSH)	464.2061	464.2061	0
DHN-GSH	466.2223		1	DHN-GSH	466.2223	466.2223	0
LPC 14:0 (putative)	468.3079		1	LPC 14:0 (putative)	468.3079	468.3079	0
Acylcarnitine C9:1-HexA	476.249		1	Acylcarnitine C9:1-HexA	476.249	476.249	0
HNA-GSH	480.2016		1	HNA-GSH	480.2016	480.2016	0
LPE 18:1 (putative)	480.3087		1	LPE 18:1 (putative)	480.3087	480.3087	0
LPC 15:1 (putative)	480.3436		1	LPC 15:1 (putative)	480.3436	480.3436	0
LPC 15:0 (putative)	482.3245		1	LPC 15:0 (putative)	482.3245	482.3245	0
LPC O-16:0 (putative)	482.3606		1	LPC O-16:0 (putative)	482.3606	482.3606	0
Acylcarnitine C10:3-HexA	486.2334		1	Acylcarnitine C10:3-HexA	486.2334	486.2334	0
Acylcarnitine C10:1-HexA	490.2647		1	Acylcarnitine C10:1-HexA	490.2647	490.2647	0
LPC 16:1 (putative)	494.3243		1	LPC 16:1 (putative)	494.3243	494.3243	0
LPC 16:0 (putative)	496.3399		1	LPC 16:0 (putative)	496.3399	496.3399	0
LPE 20:4 (putative)	502.2926		1	LPE 20:4 (putative)	502.2926	502.2926	0
Acylcarnitine C11:1-HexA	504.2803		1	Acylcarnitine C11:1-HexA	504.2803	504.2803	0
LPC 17:1 (putative)	508.3758		1	LPC 17:1 (putative)	508.3758	508.3758	0
LPC O-18:0 (putative)	509.3845		1	LPC O-18:0 (putative)	509.3845	509.3845	0
LPC 17:0 (putative)	510.3558		1	LPC 17:0 (putative)	510.3558	510.3558	0
Acylcarnitine C12:1-HexA	518.296		1	Acylcarnitine C12:1-HexA	518.296	518.296	0
LPC 18:3 (putative)	518.3081		1	LPC 18:3 (putative)	518.3081	518.3081	0
LPC 18:3 (putative)	518.3246		1	LPC 18:3 (putative)	518.3246	518.3246	0
LPC 18:2 (putative)	520.3395		1	LPC 18:2 (putative)	520.33955	520.33955	0
LPC 18:2 (putative)	520.3431		1	LPC 18:2 (putative)	520.3431	520.3431	0
LPC 18:1 (putative)	522.3538		1	LPC 18:1 (putative)	522.3538	522.3538	0
LPC 18:1 (putative)	522.3589		1	LPC 18:1 (putative)	522.3589	522.3589	0
PAF	523.3638		1	PAF	523.3638	523.3638	0
LPC 18:0 (putative)	524.3726		1	LPC 18:0 (putative)	524.3726	524.3726	0
LPE 22:5 (putative)	528.3084		1	LPE 22:5 (putative)	528.3084	528.3084	0
Acylcarnitine C13:1-HexA	532.3116		1	Acylcarnitine C13:1-HexA	532.3116	532.3116	0
LPC 19:3 (putative)	532.3395		1	LPC 19:3 (putative)	532.3395	532.3395	0
LPC O-20:2 (putative)	534.3914		1	LPC O-20:2 (putative)	534.3914	534.3914	0
LPC 19:1 (putative)	536.3705		1	LPC 19:1 (putative)	536.3705	536.3705	0
LPC O-20:1 (putative)	536.4075		1	LPC O-20:1 (putative)	536.4075	536.4075	0
LPC 19:0 (putative)	538.3879		1	LPC 19:0 (putative)	538.3879	538.3879	0
LPC 20:5 (putative)	542.3225		1	LPC 20:5 (putative)	542.3225	542.3225	0
LPC 20:4 (putative)	544.3421		1	LPC 20:4 (putative)	544.3421	544.3421	0
LPC 20:3 (putative)	546.3555		1	LPC 20:3 (putative)	546.3555	546.3555	0
LPC 20:1 (putative)	550.3869		1	LPC 20:1 (putative)	550.3869	550.3869	0
LPC 20:0 (putative)	552.4025		1	LPC 20:0 (putative)	552.4025	552.4025	0
DG 30:0 (putative)	558.5094		1	DG 30:0 (putative)	558.5094	558.5094	0
Acylcarnitine C14:1-OH-HexA	560.3065		1	Acylcarnitine C14:1-OH-HexA	560.3065	560.3065	0
Acylcarnitine C14:0-OH-HexA	562.3222		1	Acylcarnitine C14:0-OH-HexA	562.3222	562.3222	0
Cer 36:1 (putative)	564.5361		1	Cer 36:1 (putative)	564.5361	564.5361	0
LPC O-22:0 (putative)	566.4539		1	LPC O-22:0 (putative)	566.4539	566.4539	0
LPC 22:6 (putative)	568.3428		1	LPC 22:6 (putative)	568.3428	568.3428	0
PI 16:0 (putative)	571.2889		1	PI 16:0 (putative)	571.2889	571.2889	0
LPC 22:1 (putative)	578.418		1	LPC 22:1 (putative)	578.418	578.418	0
LPC 22:0 (putative)	580.4336		1	LPC 22:0 (putative)	580.4336	580.4336	0
DG 32:2 (putative)	582.5093		1	DG 32:2 (putative)	582.5093	582.5093	0
DG 32:1 (putative)	584.5251		1	DG 32:1 (putative)	584.5251	584.5251	0
DG 32:0 (putative)	586.5408		1	DG 32:0 (putative)	586.5408	586.5408	0
Cer 38:1 (putative)	594.5819		1	Cer 38:1 (putative)	594.5819	594.5819	0
LPC 24:1 (putative)	606.4501		1	LPC 24:1 (putative)	606.4501	606.4501	0
DG 34:4 (putative)	606.5095		1	DG 34:4 (putative)	606.5095	606.5095	0
DG 34:3 (putative)	608.5248		1	DG 34:3 (putative)	608.5248	608.5248	0
DG 34:2 (putative)	610.5403		1	DG 34:2 (putative)	610.5403	610.5403	0
DG 34:1 (putative)	612.5562		1	DG 34:1 (putative)	612.5562	612.5562	0
Oxidized glutathione (GSSG)	613.1592		1	Oxidized glutathione (GSSG)	613.1592	613.1592	0
DG 34:0 (putative)	614.5723		1	DG 34:0 (putative)	614.5723	614.5723	0
Acylcarnitine C18:0-OH-HexA	618.3848		1	Acylcarnitine C18:0-OH-HexA	618.3848	618.3848	0
Cer 40:2 (putative)	620.5978		1	Cer 40:2 (putative)	620.5978	620.5978	0
Cer 40:1 (putative)	622.6133		1	Cer 40:1 (putative)	622.6133	622.6133	0
CE 16:0 (putative)	625.5918		1	CE 16:0 (putative)	625.5918	625.5918	0
DG 36:5 (putative)	632.5257		1	DG 36:5 (putative)	632.5257	632.5257	0
DG 36:4 (putative)	634.5407		1	DG 36:4 (putative)	634.5407	634.5407	0
Cer 41:2 (putative)	634.6133		1	Cer 41:2 (putative)	634.6133	634.6133	0
DG 36:3 (putative)	636.556		1	DG 36:3 (putative)	636.556	636.556	0
Cer 41:1 (putative)	636.6295		1	Cer 41:1 (putative)	636.6295	636.6295	0
DG 36:2 (putative)	638.5712		1	DG 36:2 (putative)	638.5712	638.5712	0
Cer 41:0 (putative)	638.645		1	Cer 41:0 (putative)	638.645	638.645	0
DG 36:1 (putative)	640.5872		1	DG 36:1 (putative)	640.5872	640.5872	0
