ID	exact.mass
Cardiolipin CL(72:6) [M+H]+ (putative)	1454.0108
Cardiolipin CL(72:5) [M+H]+ (putative)	1456.0265
Cardiolipin CL(72:4) [M+H]+ (putative)	1458.0421
Cardiolipin CL(74:9) [M+H]+ (putative)	1475.9952
Cardiolipin CL(74:8) [M+H]+ (putative)	1478.0108
Cardiolipin CL(74:7) [M+H]+ (putative)	1480.0265
Cardiolipin CL(76:12) [M+H]+ (putative)	1497.9795
Cardiolipin CL(76:11) [M+H]+ (putative)	1499.9952
Cardiolipin CL(76:10) [M+H]+ (putative)	1502.0108
Cardiolipin CL(76:9) [M+H]+ (putative)	1504.0265
Cardiolipin CL(78:12) [M+H]+ (putative)	1526.0108
Cardiolipin CL(80:8) [M+H]+ (putative)	1562.1047
